"id","league_id","home_goals","away_goals","winner","home_gk","home_def","home_mid","home_atk","home_def_count","home_mid_count","home_atk_count","away_gk","away_def","away_mid","away_atk","away_def_count","away_mid_count","away_atk_count"
9690,7809,1,0,"home","very good","very good","very good","very good",4,4,2,"very good","good","very good","very good",4,5,1
9691,7809,1,0,"home","bad","very good","very good","very good",4,5,1,"very good","good","very good","bad",4,5,1
9692,7809,3,2,"home","very good","good","very good","very good",4,4,2,"good","good","good","good",4,5,1
9693,7809,1,3,"away","very good","good","good","good",4,4,2,"very good","very good","very good","very good",4,5,1
9694,7809,5,2,"home","bad","good","good","good",4,3,3,"bad","good","good","very bad",4,3,3
9695,7809,0,4,"away","very good","bad","good","good",4,5,1,"very good","very good","good","very good",3,4,3
9696,7809,2,1,"home","good","bad","very good","good",4,4,2,"good","good","good","very good",4,5,1
9697,7809,1,2,"away","good","good","bad","bad",4,3,3,"bad","good","good","bad",4,5,1
9698,7809,1,1,"draw","bad","bad","bad","bad",4,5,1,"good","bad","good","bad",4,4,2
9699,7809,1,2,"away","very good","very good","very good","very good",5,3,2,"good","good","bad","good",4,5,1
9700,7809,1,1,"draw","very good","good","very good","very good",4,5,1,"very good","good","very good","very good",4,4,2
9701,7809,1,1,"draw","very good","very good","very good","good",4,5,1,"bad","bad","bad","bad",5,4,1
9702,7809,1,1,"draw","good","good","good","very good",4,5,1,"very good","bad","good","good",4,5,1
9703,7809,0,4,"away","bad","good","good","bad",4,5,1,"very good","very good","very good","very good",4,5,1
9704,7809,3,2,"home","very good","good","very good","very good",4,5,1,"bad","good","good","good",4,3,3
9705,7809,1,0,"home","good","good","good","good",4,5,1,"bad","very good","very good","very good",4,5,1
9706,7809,3,3,"draw","very bad","bad","good","very bad",4,3,3,"very good","good","good","good",4,5,1
9707,7809,0,0,"draw","good","bad","good","bad",4,4,2,"good","bad","very good","good",4,4,2
9708,7809,2,0,"home","very good","very good","very good","very good",4,5,1,"good","bad","bad","good",5,4,1
9709,7809,2,2,"draw","bad","very good","very good","very good",4,5,1,"very good","very good","very good","good",4,5,1
9710,7809,4,1,"home","very good","very good","very good","good",4,4,2,"bad","good","good","bad",4,4,2
